All bits have been measured 10000 times with the outcome:
   ( 285 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=338>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=338>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=338>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=338>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=339>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=339>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=339>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=339>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=339>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=339>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 10 )	* |t=340>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=340>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 10 )	* |t=340>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 22 )	* |t=340>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 13 )	* |t=340>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=340>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 182 )	* |t=341>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 210 )	* |t=341>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 185 )	* |t=341>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 193 )	* |t=341>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 184 )	* |t=341>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 199 )	* |t=341>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 54 )	* |t=342>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 49 )	* |t=342>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 62 )	* |t=342>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 59 )	* |t=342>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 58 )	* |t=342>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 53 )	* |t=342>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=343>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=343>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 10 )	* |t=343>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=343>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=343>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=343>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=344>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=344>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=344>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=344>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=344>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=344>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=345>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=345>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=345>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=345>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=345>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=346>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=347>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=347>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=347>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=347>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=347>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=348>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=348>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=349>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=349>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=350>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=350>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=351>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=351>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=352>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=355>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=357>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=357>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=358>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=359>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=367>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=370>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=371>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=389>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=395>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=401>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=402>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=407>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=413>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=413>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=414>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=416>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=416>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=417>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=418>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=419>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=419>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=419>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=420>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=421>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=421>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=422>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=422>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=422>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=422>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=423>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=423>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=423>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=423>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=424>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=424>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=424>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=424>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=424>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=424>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=425>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 13 )	* |t=425>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=425>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=425>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 10 )	* |t=425>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=425>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 43 )	* |t=426>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 59 )	* |t=426>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 48 )	* |t=426>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 41 )	* |t=426>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 40 )	* |t=426>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 62 )	* |t=426>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 194 )	* |t=427>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 196 )	* |t=427>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 196 )	* |t=427>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 197 )	* |t=427>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 186 )	* |t=427>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 179 )	* |t=427>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=428>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=428>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=428>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=428>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 16 )	* |t=428>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=428>|xbits=6>|reg2=0>|helpers=0000> 
