All bits have been measured 7000 times with the outcome:
   ( 222 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=128>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=128>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=130>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=130>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=130>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=130>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=130>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=138>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=138>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=138>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=138>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=138>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=140>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=140>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=140>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=140>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=140>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=140>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=142>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=142>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=142>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=142>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=142>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=142>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=143>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=144>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=144>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=144>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 10 )	* |t=144>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=144>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=144>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=145>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=145>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 70 )	* |t=146>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 71 )	* |t=146>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 63 )	* |t=146>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 78 )	* |t=146>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 76 )	* |t=146>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 78 )	* |t=146>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=147>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=147>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 14 )	* |t=148>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 20 )	* |t=148>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=148>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 19 )	* |t=148>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=148>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 14 )	* |t=148>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=150>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=150>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=150>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=150>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=153>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=153>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=154>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=154>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=154>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 13 )	* |t=154>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=154>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=154>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=155>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=155>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=156>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=156>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=156>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=156>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=156>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=156>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=157>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=158>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=158>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=158>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=158>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=158>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=159>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=159>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=159>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=160>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=160>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=160>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=160>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=161>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=161>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=161>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=161>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=161>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=161>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=162>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=162>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=162>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=162>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=162>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=162>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=163>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=163>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=164>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=166>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=171>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=172>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=172>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=172>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=173>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=173>|xbits=2>|reg2=0>|helpers=0000> 
