All bits have been measured 1000 times with the outcome:
   ( 24 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=222>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=222>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=223>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=223>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=225>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=226>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=226>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=235>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=236>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=236>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=237>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=237>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=237>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=238>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=238>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=238>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=238>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=238>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=239>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=241>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=243>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=243>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
