All bits have been measured 7000 times with the outcome:
   ( 202 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=379>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=381>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=384>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=386>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=398>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=411>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=414>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=417>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=418>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=419>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=420>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=420>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=420>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=421>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=421>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=421>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=421>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=422>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=422>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=423>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=423>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=423>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=424>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=424>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=424>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=424>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=424>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=425>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=425>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=425>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=425>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=425>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=425>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 32 )	* |t=426>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 32 )	* |t=426>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 33 )	* |t=426>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 32 )	* |t=426>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 33 )	* |t=426>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 30 )	* |t=426>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 122 )	* |t=427>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 145 )	* |t=427>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 119 )	* |t=427>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 134 )	* |t=427>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 119 )	* |t=427>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 120 )	* |t=427>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=428>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=428>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=428>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=428>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=428>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 10 )	* |t=428>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=429>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=429>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=429>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=429>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=429>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=429>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=430>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=430>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=430>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=430>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=430>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=431>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=432>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=432>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=433>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=433>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=433>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=433>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=434>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=434>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=436>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=436>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=437>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=439>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=441>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=443>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=447>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=447>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=453>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=456>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=460>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=461>|xbits=3>|reg2=0>|helpers=0000> 
